,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_120,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250,RPS_250
Ticker,AAPL,ABBV,ADBE,AMD,AMGN,AMZN,AVGO,BAC,CAT,COST,CRM,CSCO,CVX,GE,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MSFT,NFLX,NVDA,PEP,PG,QCOM,RTX,SBUX,TMO,TSLA,UNH,V,WMT,XOM,AAPL,ABBV,ADBE,AMD,AMGN,AMZN,AVGO,BAC,CAT,COST,CRM,CSCO,CVX,GE,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MSFT,NFLX,NVDA,PEP,PG,QCOM,RTX,SBUX,TMO,TSLA,UNH,V,WMT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-26,75.0,57.5,10.0,90.0,65.0,52.5,50.0,62.5,92.5,22.5,12.5,60.0,55.0,42.5,97.5,25.0,45.0,70.0,100.0,80.0,27.5,40.0,85.0,15.0,32.5,5.0,7.5,2.5,30.0,37.5,20.0,35.0,72.5,47.5,82.5,87.5,95.0,17.5,67.5,77.5,52.5,70.0,7.5,100.0,67.5,30.0,90.0,55.0,92.5,32.5,5.0,75.0,50.0,82.5,95.0,17.5,37.5,77.5,97.5,80.0,57.5,60.0,72.5,20.0,45.0,35.0,42.5,10.0,85.0,22.5,12.5,15.0,87.5,25.0,40.0,47.5,2.5,27.5,62.5,65.0
2026-01-27,75.0,60.0,5.0,92.5,72.5,57.5,52.5,62.5,95.0,25.0,15.0,65.0,50.0,47.5,97.5,20.0,37.5,70.0,100.0,82.5,27.5,42.5,87.5,12.5,35.0,7.5,10.0,2.5,32.5,45.0,22.5,30.0,77.5,40.0,85.0,90.0,55.0,17.5,67.5,80.0,47.5,72.5,7.5,97.5,65.0,32.5,90.0,55.0,92.5,30.0,5.0,77.5,52.5,85.0,95.0,17.5,45.0,75.0,100.0,82.5,57.5,62.5,67.5,20.0,50.0,27.5,42.5,10.0,80.0,35.0,15.0,12.5,87.5,22.5,37.5,40.0,2.5,25.0,60.0,70.0
2026-01-28,70.0,55.0,5.0,95.0,75.0,50.0,52.5,62.5,92.5,25.0,10.0,65.0,60.0,45.0,97.5,22.5,35.0,67.5,100.0,85.0,30.0,37.5,90.0,12.5,27.5,7.5,15.0,2.5,40.0,42.5,20.0,32.5,77.5,47.5,87.5,82.5,72.5,17.5,57.5,80.0,42.5,70.0,7.5,97.5,65.0,32.5,90.0,52.5,92.5,30.0,5.0,77.5,55.0,80.0,95.0,20.0,37.5,75.0,100.0,85.0,57.5,60.0,67.5,22.5,47.5,27.5,45.0,10.0,82.5,35.0,17.5,15.0,87.5,12.5,40.0,50.0,2.5,25.0,62.5,72.5
2026-01-29,65.0,52.5,7.5,90.0,72.5,45.0,47.5,67.5,92.5,20.0,10.0,57.5,60.0,50.0,97.5,17.5,55.0,75.0,100.0,85.0,42.5,37.5,95.0,15.0,27.5,12.5,5.0,2.5,40.0,32.5,22.5,35.0,80.0,30.0,82.5,77.5,70.0,25.0,62.5,87.5,45.0,72.5,7.5,97.5,67.5,35.0,87.5,55.0,95.0,27.5,5.0,75.0,52.5,80.0,92.5,17.5,47.5,65.0,100.0,82.5,57.5,60.0,70.0,22.5,50.0,42.5,40.0,10.0,85.0,32.5,20.0,15.0,90.0,12.5,30.0,37.5,2.5,25.0,62.5,77.5
2026-01-30,57.5,60.0,7.5,90.0,72.5,40.0,47.5,70.0,92.5,20.0,10.0,50.0,67.5,52.5,97.5,22.5,55.0,77.5,100.0,85.0,37.5,45.0,95.0,15.0,32.5,12.5,5.0,2.5,35.0,42.5,25.0,30.0,82.5,27.5,75.0,80.0,65.0,17.5,62.5,87.5,47.5,70.0,7.5,97.5,65.0,32.5,80.0,55.0,95.0,25.0,5.0,75.0,67.5,82.5,92.5,17.5,45.0,62.5,100.0,85.0,52.5,57.5,72.5,30.0,50.0,35.0,37.5,10.0,90.0,40.0,20.0,15.0,87.5,12.5,27.5,42.5,2.5,22.5,60.0,77.5
2026-02-02,67.5,57.5,7.5,90.0,72.5,47.5,45.0,65.0,95.0,17.5,10.0,60.0,62.5,50.0,97.5,20.0,52.5,85.0,100.0,87.5,37.5,40.0,92.5,15.0,35.0,12.5,5.0,2.5,30.0,42.5,25.0,32.5,80.0,27.5,77.5,75.0,55.0,22.5,70.0,82.5,52.5,62.5,7.5,97.5,65.0,35.0,82.5,55.0,95.0,22.5,5.0,77.5,57.5,80.0,92.5,20.0,45.0,67.5,100.0,85.0,50.0,60.0,72.5,30.0,47.5,32.5,37.5,10.0,90.0,40.0,17.5,15.0,87.5,12.5,27.5,42.5,2.5,25.0,70.0,75.0
2026-02-03,62.5,57.5,7.5,90.0,72.5,40.0,35.0,60.0,97.5,27.5,10.0,65.0,67.5,50.0,95.0,20.0,55.0,80.0,100.0,85.0,42.5,47.5,92.5,15.0,37.5,12.5,5.0,2.5,25.0,52.5,32.5,17.5,82.5,30.0,70.0,77.5,45.0,22.5,75.0,87.5,50.0,67.5,7.5,97.5,60.0,32.5,80.0,55.0,95.0,25.0,5.0,77.5,62.5,85.0,92.5,20.0,42.5,47.5,100.0,87.5,57.5,70.0,65.0,35.0,45.0,27.5,37.5,10.0,82.5,52.5,17.5,15.0,90.0,12.5,30.0,40.0,2.5,22.5,72.5,75.0
2026-02-04,70.0,47.5,5.0,45.0,85.0,37.5,27.5,67.5,95.0,30.0,10.0,62.5,72.5,60.0,92.5,22.5,57.5,77.5,100.0,87.5,50.0,52.5,97.5,17.5,42.5,12.5,7.5,2.5,15.0,55.0,32.5,20.0,82.5,40.0,65.0,75.0,35.0,25.0,80.0,90.0,55.0,50.0,7.5,95.0,62.5,35.0,77.5,60.0,97.5,17.5,5.0,75.0,65.0,85.0,92.5,27.5,47.5,42.5,100.0,90.0,57.5,70.0,72.5,32.5,45.0,22.5,37.5,10.0,82.5,52.5,25.0,12.5,87.5,15.0,30.0,40.0,2.5,20.0,67.5,80.0
